Time Stamp;Force (Newtons);Diff Time
44658.69643;2.62108;0.00100
44658.69643;5.50480;0.00100
44658.69643;5.86527;0.00101
44658.69643;3.82263;0.00101
44658.69643;6.22573;0.00101
44658.69643;6.58620;0.00101
44658.69643;4.30325;0.00101
44658.69643;5.38465;0.00101
44658.69643;5.14434;0.00101
44658.69643;2.38077;0.00101
44658.69643;3.70247;0.00101
44658.69643;3.58232;0.00101
44658.69643;1.29937;0.00102
44658.69643;3.58232;0.00102
44658.69643;3.58232;0.00102
44658.69643;2.14045;0.00102
44658.69643;4.90403;0.00102
44658.69643;5.02418;0.00102
44658.69643;3.82263;0.00102
44658.69643;6.10558;0.00102
44658.69643;6.70635;0.00102
44658.69643;4.66372;0.00102
44658.69643;6.94666;0.00099
44658.69643;6.22573;0.00099
44658.69643;2.98154;0.00099
44658.69643;5.26449;0.00099
44658.69643;3.94278;0.00099
44658.69643;1.77999;0.00099
44658.69643;3.58232;0.00099
44658.69643;3.58232;0.00099
44658.69643;1.29937;0.00099
44658.69643;3.94278;0.00099
44658.69643;4.78387;0.00100
44658.69643;2.50092;0.00100
44658.69643;5.98542;0.00100
44658.69643;5.86527;0.00100
44658.69643;4.54356;0.00100
44658.69643;6.82651;0.00100
44658.69643;6.82651;0.00100
44658.69643;4.42340;0.00100
44658.69643;5.86527;0.00100
44658.69643;5.62496;0.00100
44658.69643;2.50092;0.00102
44658.69643;4.42340;0.00102
44658.69643;3.58232;0.00102
44658.69643;1.77999;0.00102
44658.69643;3.94278;0.00102
44658.69643;4.06294;0.00102
44658.69643;2.38077;0.00102
44658.69643;5.14434;0.00102
44658.69643;5.86527;0.00102
44658.69643;3.70247;0.00102
44658.69643;6.70635;0.00101
44658.69643;6.70635;0.00101
44658.69643;4.78387;0.00101
44658.69643;7.42729;0.00101
44658.69643;6.58620;0.00101
44658.69643;3.94278;0.00101
44658.69643;5.98542;0.00101
44658.69643;4.90403;0.00101
44658.69643;2.50092;0.00101
44658.69643;4.06294;0.00101
44658.69643;4.42340;0.00091
44658.69643;2.14045;0.00091
44658.69643;4.66372;0.00091
44658.69643;4.78387;0.00091
44658.69643;3.58232;0.00091
44658.69643;6.22573;0.00091
44658.69643;6.34589;0.00091
44658.69643;5.38465;0.00091
44658.69643;7.06682;0.00091
44658.69643;8.02806;0.00091
44658.69643;5.38465;0.00110
44658.69643;7.54744;0.00110
44658.69643;6.82651;0.00110
44658.69643;3.70247;0.00110
44658.69643;5.62496;0.00110
44658.69643;4.66372;0.00110
44658.69643;2.86139;0.00110
44658.69643;4.66372;0.00110
44658.69643;4.90403;0.00110
44658.69643;3.34201;0.00110
44658.69643;5.98542;0.00082
44658.69643;6.46604;0.00082
44658.69643;4.66372;0.00082
44658.69643;7.66760;0.00082
44658.69643;8.26837;0.00082
44658.69643;5.98542;0.00082
44658.69643;8.62884;0.00082
44658.69643;8.62884;0.00082
44658.69643;5.38465;0.00082
44658.69643;7.42729;0.00082
44658.69643;6.82651;0.00110
44658.69643;4.18309;0.00110
44658.69643;5.98542;0.00110
44658.69643;6.10558;0.00110
44658.69643;3.94278;0.00110
44658.69643;6.46604;0.00110
44658.69643;6.58620;0.00110
44658.69643;5.38465;0.00110
44658.69643;8.02806;0.00110
44658.69643;8.26837;0.00110
44658.69643;6.70635;0.00101
44658.69643;9.34977;0.00101
44658.69643;9.71024;0.00101
44658.69643;7.18698;0.00101
44658.69643;9.59008;0.00101
44658.69643;8.50868;0.00101
44658.69643;6.46604;0.00101
44658.69643;7.90791;0.00101
44658.69643;7.66760;0.00101
44658.69643;5.38465;0.00101
44658.69643;8.14822;0.00103
44658.69643;7.90791;0.00103
44658.69643;6.10558;0.00103
44658.69643;8.98930;0.00103
44658.69643;9.34977;0.00103
44658.69643;7.78775;0.00103
44658.69643;10.67148;0.00103
44658.69643;10.79163;0.00103
44658.69643;9.10946;0.00103
44658.69643;11.51256;0.00103
44658.69643;11.99319;0.00101
44658.69643;9.10946;0.00101
44658.69643;11.39241;0.00101
44658.69643;11.27225;0.00101
44658.69643;8.86915;0.00101
44658.69643;11.03194;0.00101
44658.69643;10.79163;0.00101
44658.69643;8.86915;0.00101
44658.69643;10.67148;0.00101
44658.69643;11.27225;0.00101
44658.69643;9.71024;0.00101
44658.69643;12.23350;0.00101
44658.69643;13.31489;0.00101
44658.69643;12.11334;0.00101
44658.69643;15.47769;0.00101
44658.69643;15.83815;0.00101
44658.69643;15.11722;0.00101
44658.69643;17.28002;0.00101
44658.69643;17.64048;0.00101
44658.69643;15.11722;0.00101
44658.69643;17.03971;0.00101
44658.69643;17.28002;0.00101
44658.69643;14.39629;0.00101
44658.69643;17.52033;0.00101
44658.69643;17.64048;0.00101
44658.69643;16.19862;0.00101
44658.69643;19.08234;0.00101
44658.69643;20.28390;0.00101
44658.69643;18.36141;0.00101
44658.69643;22.08623;0.00101
44658.69643;22.80716;0.00101
44658.69643;21.84592;0.00101
44658.69644;25.57073;0.00101
44658.69644;26.65213;0.00101
44658.69644;25.81104;0.00101
44658.69644;27.49321;0.00101
44658.69644;28.57461;0.00101
44658.69644;26.17150;0.00101
44658.69644;28.09399;0.00101
44658.69644;29.29554;0.00101
44658.69644;27.49321;0.00090
44658.69644;30.73740;0.00090
44658.69644;32.05911;0.00090
44658.69644;31.81880;0.00090
