Time Stamp;Force (Newtons);Diff Time
44658.65286;-2.06498;0.00100
44658.65286;0.57844;0.00100
44658.65286;0.69859;0.00100
44658.65286;-0.98358;0.00100
44658.65286;2.74123;0.00100
44658.65286;2.14045;0.00100
44658.65286;1.17921;0.00100
44658.65286;3.70247;0.00100
44658.65286;3.70247;0.00100
44658.65286;1.53968;0.00100
44658.65286;3.94278;0.00100
44658.65286;2.14045;0.00100
44658.65286;-0.50296;0.00100
44658.65286;1.65983;0.00100
44658.65286;-0.26265;0.00100
44658.65286;-1.70451;0.00100
44658.65286;0.93890;0.00100
44658.65286;-0.14249;0.00100
44658.65286;-0.74327;0.00100
44658.65286;2.62108;0.00100
44658.65286;1.65983;0.00100
44658.65286;0.81875;0.00100
44658.65286;3.94278;0.00100
44658.65286;2.74123;0.00100
44658.65286;1.41952;0.00100
44658.65286;4.06294;0.00100
44658.65286;2.14045;0.00100
44658.65286;0.21797;0.00100
44658.65286;2.86139;0.00100
44658.65286;0.45828;0.00100
44658.65286;-0.50296;0.00100
44658.65286;1.90014;0.00100
44658.65286;1.05906;0.00100
44658.65286;-0.62312;0.00100
44658.65286;2.50092;0.00100
44658.65286;1.41952;0.00100
44658.65286;-0.02234;0.00100
44658.65286;3.46216;0.00100
44658.65286;1.65983;0.00100
44658.65286;1.05906;0.00100
44658.65286;3.46216;0.00100
44658.65286;1.90014;0.00100
44658.65286;0.93890;0.00100
44658.65286;2.86139;0.00100
44658.65286;1.29937;0.00100
44658.65286;-0.38281;0.00100
44658.65286;2.14045;0.00100
44658.65286;0.69859;0.00100
44658.65286;-0.62312;0.00100
44658.65286;2.26061;0.00100
44658.65286;0.81875;0.00100
44658.65286;0.21797;0.00100
44658.65286;2.98154;0.00100
44658.65286;1.53968;0.00100
44658.65286;0.69859;0.00100
44658.65286;3.58232;0.00100
44658.65286;1.90014;0.00100
44658.65286;0.69859;0.00100
44658.65286;4.06294;0.00100
44658.65286;1.41952;0.00100
44658.65286;0.69859;0.00100
44658.65286;2.38077;0.00101
44658.65286;1.29937;0.00101
44658.65286;-0.50296;0.00101
44658.65286;2.62108;0.00101
44658.65286;1.05906;0.00101
44658.65286;-0.26265;0.00101
44658.65286;2.98154;0.00101
44658.65286;1.29937;0.00101
44658.65286;0.33813;0.00101
44658.65286;3.46216;0.00101
44658.65286;1.77999;0.00100
44658.65286;0.69859;0.00100
44658.65286;3.82263;0.00100
44658.65286;1.90014;0.00100
44658.65286;1.05906;0.00100
44658.65286;3.22185;0.00100
44658.65286;1.77999;0.00100
44658.65286;-0.02234;0.00100
44658.65286;2.98154;0.00100
44658.65286;0.69859;0.00100
44658.65286;0.09782;0.00100
44658.65286;2.86139;0.00100
44658.65286;1.17921;0.00100
44658.65286;0.33813;0.00100
44658.65286;3.58232;0.00100
44658.65286;1.29937;0.00100
44658.65286;1.17921;0.00100
44658.65286;3.58232;0.00100
44658.65286;2.26061;0.00100
44658.65286;0.81875;0.00100
44658.65286;4.06294;0.00100
44658.65286;2.02030;0.00100
44658.65286;0.81875;0.00100
44658.65286;3.34201;0.00100
44658.65286;1.17921;0.00100
44658.65286;0.45828;0.00100
44658.65286;2.98154;0.00100
44658.65286;1.65983;0.00100
44658.65286;0.45828;0.00100
44658.65286;3.58232;0.00100
44658.65286;1.65983;0.00100
44658.65286;1.17921;0.00100
44658.65286;4.06294;0.00100
44658.65286;2.26061;0.00100
44658.65286;1.53968;0.00100
44658.65286;4.30325;0.00100
44658.65286;2.26061;0.00100
44658.65286;1.90014;0.00100
44658.65286;3.82263;0.00100
44658.65286;2.50092;0.00100
44658.65286;0.69859;0.00100
44658.65286;4.18309;0.00100
44658.65286;1.53968;0.00100
44658.65286;1.29937;0.00100
44658.65286;3.70247;0.00100
44658.65286;1.90014;0.00100
44658.65286;1.41952;0.00100
44658.65286;4.42340;0.00100
44658.65286;2.14045;0.00100
44658.65286;2.14045;0.00100
44658.65286;4.30325;0.00101
44658.65286;3.10170;0.00101
44658.65286;1.41952;0.00101
44658.65286;5.02418;0.00101
44658.65286;2.50092;0.00101
44658.65286;2.14045;0.00101
44658.65286;4.54356;0.00101
44658.65286;2.26061;0.00101
44658.65286;2.14045;0.00101
44658.65286;3.94278;0.00101
44658.65286;2.98154;0.00100
44658.65286;1.77999;0.00100
44658.65286;4.78387;0.00100
44658.65286;2.74123;0.00100
44658.65286;2.50092;0.00100
44658.65286;5.02418;0.00100
44658.65286;3.22185;0.00100
44658.65286;2.62108;0.00100
44658.65286;5.38465;0.00100
44658.65286;3.34201;0.00100
44658.65286;3.22185;0.00100
44658.65286;5.62496;0.00100
44658.65286;3.82263;0.00100
44658.65286;2.98154;0.00100
44658.65286;5.62496;0.00100
44658.65286;3.70247;0.00100
44658.65286;2.98154;0.00100
44658.65286;5.98542;0.00100
44658.65286;4.06294;0.00100
44658.65286;3.22185;0.00100
44658.65286;6.34589;0.00100
44658.65286;4.42340;0.00100
44658.65286;4.18309;0.00100
44658.65286;6.94666;0.00100
44658.65286;5.38465;0.00100
44658.65286;5.02418;0.00100
44658.65286;7.54744;0.00100
44658.65286;5.98542;0.00100
44658.65286;5.14434;0.00100
44658.65286;7.90791;0.00100
44658.65286;5.86527;0.00100
44658.65286;5.50480;0.00100
44658.65286;7.66760;0.00100
44658.65286;6.34589;0.00100
44658.65286;5.98542;0.00100
44658.65286;8.50868;0.00100
44658.65286;6.82651;0.00100
44658.65286;6.58620;0.00100
44658.65286;8.98930;0.00100
44658.65286;7.78775;0.00100
44658.65286;6.94666;0.00100
44658.65286;10.55132;0.00100
44658.65286;7.54744;0.00100
44658.65286;7.78775;0.00100
44658.65286;10.31101;0.00100
44658.65286;8.38853;0.00100
44658.65286;8.02806;0.00100
44658.65286;10.43117;0.00100
44658.65286;8.86915;0.00100
44658.65286;8.26837;0.00100
44658.65286;11.15210;0.00100
44658.65286;9.10946;0.00100
44658.65286;8.98930;0.00100
44658.65286;11.87303;0.00100
44658.65286;10.07070;0.00100
44658.65286;9.46993;0.00100
44658.65286;12.11334;0.00100
44658.65286;10.19086;0.00100
44658.65286;8.62884;0.00100
44658.65286;10.19086;0.00100
44658.65286;6.94666;0.00100
44658.65286;4.66372;0.00100
44658.65286;5.38465;0.00100
44658.65286;2.38077;0.00100
44658.65286;-0.02234;0.00100
44658.65286;2.86139;0.00100
44658.65286;1.05906;0.00100
44658.65286;1.53968;0.00100
44658.65286;5.38465;0.00100
44658.65286;3.22185;0.00100
44658.65286;6.10558;0.00100
44658.65286;9.34977;0.00100
44658.65286;10.67148;0.00100
44658.65286;10.79163;0.00100
44658.65286;15.23738;0.00100
44658.65286;13.79551;0.00100
44658.65286;12.83427;0.00100
44658.65286;16.67924;0.00100
44658.65286;13.19474;0.00100
44658.65286;12.71412;0.00100
44658.65286;14.75676;0.00100
44658.65286;11.99319;0.00100
44658.65286;11.63272;0.00100
44658.65286;13.91567;0.00100
44658.65286;12.71412;0.00100
44658.65286;13.55520;0.00100
44658.65286;16.19862;0.00100
44658.65286;16.07846;0.00100
44658.65286;15.71800;0.00100
44658.65286;19.44281;0.00100
44658.65286;17.28002;0.00099
44658.65286;17.15986;0.00099
44658.65286;20.04359;0.00099
44658.65286;18.00095;0.00099
44658.65286;17.88079;0.00099
44658.65286;19.68312;0.00099
44658.65286;18.24126;0.00099
44658.65286;18.60172;0.00099
44658.65286;20.28390;0.00099
44658.65286;21.48545;0.00099
44658.65286;18.48157;0.00100
44658.65286;23.52809;0.00100
44658.65286;21.00483;0.00100
44658.65286;20.64436;0.00100
44658.65286;24.60949;0.00100
44658.65286;21.48545;0.00100
44658.65286;22.44669;0.00100
44658.65286;24.36918;0.00100
44658.65286;23.88855;0.00100
44658.65286;23.40793;0.00100
44658.65286;26.53197;0.00100
44658.65286;25.81104;0.00100
44658.65286;25.09011;0.00100
44658.65286;28.09399;0.00100
44658.65286;27.73352;0.00100
44658.65286;27.13275;0.00100
44658.65286;30.49709;0.00100
44658.65286;29.17539;0.00100
44658.65286;30.13663;0.00100
44658.65286;31.09787;0.00100
44658.65286;33.14051;0.00100
44658.65286;30.49709;0.00100
44658.65286;36.50486;0.00100
44658.65286;33.74129;0.00100
44658.65286;36.14439;0.00100
44658.65286;37.58625;0.00100
44658.65286;39.14827;0.00100
44658.65286;36.98548;0.00100
44658.65286;40.95060;0.00100
44658.65286;40.71029;0.00100
44658.65286;40.22967;0.00100
44658.65286;43.59402;0.00100
44658.65286;44.55526;0.00100
44658.65286;42.63277;0.00100
44658.65286;48.28007;0.00100
44658.65286;47.31883;0.00100
44658.65286;48.03976;0.00100
44658.65286;50.44286;0.00100
44658.65286;53.20644;0.00100
44658.65286;51.16380;0.00100
44658.65286;55.36923;0.00100
44658.65286;55.48939;0.00100
44658.65286;55.36923;0.00100
44658.65286;58.13280;0.00100
44658.65286;60.53591;0.00100
44658.65286;59.33435;0.00100
44658.65286;62.33823;0.00100
44658.65286;66.66382;0.00100
44658.65286;64.50103;0.00100
44658.65286;69.66770;0.00100
44658.65287;72.55143;0.00101
44658.65287;70.74910;0.00101
44658.65287;76.87702;0.00101
44658.65287;76.03593;0.00101
44658.65287;76.87702;0.00101
44658.65287;78.19873;0.00101
44658.65287;83.12509;0.00101
44658.65287;78.31888;0.00101
44658.65287;86.12897;0.00101
44658.65287;85.64835;0.00101
44658.65287;85.52820;0.00100
44658.65287;91.29565;0.00100
44658.65287;90.69487;0.00100
44658.65287;93.21813;0.00100
44658.65287;94.65999;0.00100
44658.65287;99.10574;0.00100
44658.65287;97.42357;0.00100
44658.65287;100.06698;0.00100
44658.65287;103.19102;0.00100
44658.65287;102.10962;0.00100
44658.65287;103.55148;0.00101
44658.65287;110.28018;0.00101
44658.65287;106.31505;0.00101
44658.65287;112.08251;0.00101
44658.65287;114.48561;0.00101
44658.65287;114.48561;0.00101
44658.65287;118.57089;0.00101
44658.65287;121.09415;0.00101
44658.65287;123.25694;0.00101
44658.65287;122.65617;0.00101
44658.65287;129.86548;0.00099
44658.65287;127.94300;0.00099
44658.65287;129.38486;0.00099
44658.65287;135.75309;0.00099
44658.65287;131.66781;0.00099
44658.65287;137.55542;0.00099
44658.65287;139.95852;0.00099
44658.65287;141.03992;0.00099
44658.65287;143.92364;0.00099
44658.65287;143.44302;0.00099
44658.65287;146.92753;0.00101
44658.65287;147.64846;0.00101
44658.65287;148.00892;0.00101
44658.65287;154.85777;0.00101
44658.65287;150.29187;0.00101
44658.65287;158.34227;0.00101
44658.65287;157.26088;0.00101
44658.65287;158.70274;0.00101
44658.65287;163.74926;0.00101
44658.65287;160.14460;0.00101
44658.65287;165.19112;0.00100
44658.65287;158.94305;0.00100
44658.65287;166.75314;0.00100
44658.65287;161.10584;0.00100
44658.65287;161.58646;0.00100
44658.65287;165.07097;0.00100
44658.65287;160.98569;0.00100
44658.65287;163.86941;0.00100
44658.65287;168.55547;0.00100
44658.65287;167.35392;0.00100
44658.65287;174.56323;0.00102
44658.65287;175.28416;0.00102
44658.65287;183.69503;0.00102
44658.65287;179.24928;0.00102
44658.65287;187.29969;0.00102
44658.65287;185.61751;0.00102
44658.65287;182.25317;0.00102
44658.65287;187.66015;0.00102
44658.65287;184.17565;0.00102
44658.65287;181.53223;0.00102
44658.65287;184.65627;0.00099
44658.65287;178.28804;0.00099
44658.65287;181.89270;0.00099
44658.65287;180.33068;0.00099
44658.65287;189.22217;0.00099
44658.65287;184.17565;0.00099
44658.65287;194.26869;0.00099
44658.65287;194.38884;0.00099
44658.65287;196.43148;0.00099
44658.65287;198.59428;0.00099
44658.65287;201.71831;0.00101
44658.65287;204.96251;0.00101
44658.65287;202.91987;0.00101
44658.65287;214.09430;0.00101
44658.65287;239.44706;0.00101
44658.65287;223.70672;0.00101
44658.65287;244.01296;0.00101
44658.65287;219.74160;0.00101
44658.65287;250.14088;0.00101
44658.65287;238.36566;0.00101
44658.65287;256.86957;0.00099
44658.65287;260.23391;0.00099
44658.65287;261.55562;0.00099
44658.65287;272.73006;0.00099
44658.65287;256.74941;0.00099
44658.65287;259.87345;0.00099
44658.65287;254.58662;0.00099
44658.65287;241.85016;0.00099
44658.65287;248.33855;0.00099
44658.65287;240.76877;0.00099
44658.65287;255.66802;0.00100
44658.65287;228.99355;0.00100
44658.65287;256.02848;0.00100
44658.65287;219.74160;0.00100
44658.65287;243.41218;0.00100
44658.65287;230.31526;0.00100
44658.65287;236.56333;0.00100
44658.65287;242.21063;0.00100
44658.65287;236.92380;0.00100
44658.65287;243.41218;0.00100
44658.65287;223.46641;0.00100
44658.65287;232.23774;0.00100
44658.65287;227.91216;0.00100
44658.65287;217.09818;0.00100
44658.65287;242.81141;0.00100
44658.65287;218.41989;0.00100
44658.65287;239.32690;0.00100
44658.65287;224.90828;0.00100
44658.65287;229.59433;0.00100
44658.65287;227.79200;0.00100
44658.65287;220.70284;0.00100
44658.65287;238.84628;0.00100
44658.65287;220.22222;0.00100
44658.65287;241.00908;0.00100
44658.65287;225.50905;0.00100
44658.65287;225.14859;0.00100
44658.65287;231.27650;0.00100
44658.65287;218.66020;0.00100
44658.65287;239.92768;0.00100
44658.65287;223.22610;0.00100
44658.65287;246.05560;0.00100
44658.65287;228.39278;0.00100
44658.65287;235.24163;0.00100
44658.65287;229.59433;0.00100
44658.65287;229.47417;0.00100
44658.65287;225.86952;0.00100
44658.65287;230.55557;0.00100
44658.65287;230.43542;0.00100
44658.65287;231.99743;0.00100
44658.65287;231.87728;0.00100
44658.65287;233.79976;0.00101
44658.65287;228.39278;0.00101
44658.65287;234.28038;0.00101
44658.65287;235.72225;0.00101
44658.65287;241.48970;0.00101
44658.65287;240.64861;0.00101
44658.65287;245.21451;0.00101
44658.65287;236.80364;0.00101
44658.65287;232.35790;0.00101
44658.65287;236.68349;0.00101
44658.65287;226.83076;0.00100
44658.65287;238.48582;0.00100
44658.65287;228.15247;0.00100
44658.65287;240.64861;0.00100
